"Ian Robertson","“
Idiot's sent me the wrong swim shorts, stuff shopping with these cowboys again.
”","1","Posted 1 year ago"
"Avoid Under U","“
AVOID**
I could not express enough how absolutely awful this company is.
I purchased from seller on ebay which cost me almost £200! I had returned some items in the same packaging as unwanted gift which the seller said was fine and provided me with a returns address (which was false! simon done this so the parcel would show as signed for. And then ebay would see it was not to the correct address)
This item was signed for by the office next door as UNDERU were not open on this day of delivery as I called up to check item was received and the line said office is closed
This company is causing me a lot of distress, they promised me my refund and its been over a month.
They will not respond to any of my emails. I am being completely ignored. I have been extremely polite in all emails but now i am frustrated as i've been well and truly scammed.
I would seriously advise not to return anything to this company as YOU WILL NOT get your money back. They have the items and my money.
Please take advise as they now have my money and the items.
I don't want this to happen to anyone else. Simon was very nice at first, trying to sell the products and get my money. But as soon as you send this money its game over.
Awful customer service, by far worst i've ever received
AVOID
”","1","Posted 2 years ago"
"Avoid Underu","“
AVOID**
I could not express enough how absolutely awful this company is.
I purchased from seller on ebay which cost me almost £200! I had returned some items in the same packaging as unwanted gift which the seller said was fine and provided me with a returns address (which was false! simon done this so the parcel would show as signed for. And then ebay would see it was not to the correct address)
This item was signed for by the office next door as UNDERU were not open on this day of delivery as I called up to check item was received and the line said office is closed
This company is causing me a lot of distress, they promised me my refund and its been over a month.
They will not respond to any of my emails. I am being completely ignored. I have been extremely polite in all emails but now i am frustrated as i've been well and truly scammed.
I would seriously advise not to return anything to this company as YOU WILL NOT get your money back. They have the items and my money.
Please take advise as they now have my money and the items.
I don't want this to happen to anyone else. Simon was very nice at first, trying to sell the products and get my money. But as soon as you send this money its game over.
Awful customer service, by far worst i've ever received
AVOID************************
”","1","Posted 2 years ago"
"Anonymous","“
**AVOID**
I could not express enough how absolutely awful this company is.
Items purchased from seller costing me £166. I had returned some items in the same packaging as unwanted gift.
This item was signed for by the office next door as they were not open on this day of delivery as I called up to check item was received and the line said office is closed
This company is causing me a lot of distress, they promised me my refund and its been over a month.
They will not respond to any of my emails. I am being completely ignored.
I would seriously advise not to return anything to this company as YOU WILL NOT get your money back. They have the items and my money.
Please take advise as they now have my money and the items.
Awful customer service, by far worst i've ever received
AVOID************************
”","1","Posted 2 years ago"
"Anonymous","“
I could not express enough how absolutely awful this company is.
Items purchased from seller on 02/04/2019 costing me £166. I had returned all items in the same packaging as unwanted gift
This item was signed for by the office next door as they were not open on this day of delivery as I called up to check item was received and the line said office is closed
This company is causing me a lot of distress, they promised me my refund and its been over a month.
They will not respond to any of my emails. I am being completely ignored.
I don’t understand how I can be refunded for only 1 item when this was all sent together.
I am owed £86.97.
I would seriously advise not to return anything to this company as they make out it was signed for by another company and you wont get your money back.
Please take advise as they now have my money and the items.
Awful customer service, by far worst i've ever received
”","1","Posted 2 years ago"
"Taylor Anderson","“
Ordered my item over a week ago and it did not get dispatched until 2 days ago, when my item should have already been here. Pboned customer service and I was told it would be delivered 1st class and I am still waiting on my item. Will never use this website again. Disgraceful service.
”","1","Posted 2 years ago"
"Anonymous","“
Great service and arrived super fast.
”","5","Posted 2 years ago"
"Anonymous","“
great brands
”","5","Posted 3 years ago"
"Adam","“
Great service - would recommend - competitive prices
”","5","Posted 3 years ago"
"Dawid Falinski","“
High quality service
”","5","Posted 3 years ago"
"JOHN RICHARD BELL","“
YOU DON'T STOCK LARGER SIZES IN MEN'S UNDERWEAR. 41 & 42 INCH WAIST ARE NOT IN YOUR LISTINGS.
APART FROM THAT THE SERVICE IS GOOD.
”","4","Posted 5 years ago"
